title,provider,award,ects_credits,mode,deadline,start_date,end_date,nfq,ote_flag,link, administration, communication, construction, law, manufacturing, mathematics, sciences, statistics, technologies,business,engineering,information,natural
BSc in Process Technologies [Limerick] [September 2018],Innopharma College of Applied Sciences,BSc in Process Technologies,70,Part Time,2018-08-03,2018-09-10,2019-05-31,7,Yes,http://springboardcourses.ie/details/6478,0,0,1,0,1,0,0,0,0,0,1,0,0
Diploma in Full Stack Software Development [July 2018],Code Institute,Code Institute Diploma In Software Development,60,Part Time,2018-07-20,2018-07-24,2018-08-02,6,Yes,http://springboardcourses.ie/details/6476,0,1,0,0,0,0,0,0,1,0,0,1,0
Diploma in Pharmaceutical and Medical Device Manufacturing [Sept 2018] [Cork],Innopharma College of Applied Sciences,Level 8 Higher Diploma QQI,70,Part Time,2018-08-03,2018-09-24,2018-09-25,8,Yes,http://springboardcourses.ie/details/6466,0,0,1,0,1,0,0,0,0,0,1,0,0
Supply Chain Management (Certificate) (Blended Learning - September 2018),University of Limerick,Minor,54,Part Time,2018-07-15,2018-09-08,2019-05-10,7,Yes,http://springboardcourses.ie/details/6334,0,0,1,0,1,0,0,0,0,0,1,0,0
Management  (Certificate) (Blended Learning - September 2018),University of Limerick,Minor,54,Part Time,2018-07-15,2018-09-08,2019-05-10,6,Yes,http://springboardcourses.ie/details/6326,1,0,0,1,0,0,0,0,0,1,0,0,0
ACCA Diploma in Accounting and Business [September 2018],Professional Accountancy Training,ACCA Diploma in Accounting and Business,45,Part Time,2018-08-01,2018-09-01,2019-03-01,6,Yes,http://springboardcourses.ie/details/6286,1,0,0,1,0,0,0,0,0,1,0,0,0
L6 Certificate in Biopharmaceutical Processing [September 2018],NIBRT,Special Purpose Award,40,Part Time,2018-09-01,2018-09-01,2019-05-01,6,Yes,http://springboardcourses.ie/details/6280,0,0,0,0,0,1,1,1,0,0,0,0,1
Quality for Medical Technologies (incorporating a Certificate in Quality (SPA) & Diploma in Professional Competence (SPA),Irish Medtech Association ,QQI Level 8 - 30 ECTS,50,Part Time,2018-11-01,2018-11-13,2019-03-05,8,Yes,http://springboardcourses.ie/details/6221,0,0,1,0,1,0,0,0,0,0,1,0,0
Bachelors in Science in Quality and Regulatory Affairs,Irish Medtech Association ,Bachelors of Science in Quality and regulatory Affairs,60,Part Time,2018-08-25,2018-09-08,2019-08-31,8,Yes,http://springboardcourses.ie/details/6220,0,0,1,0,1,0,0,0,0,0,1,0,0
"Certificate in Quality Management, Tools and Techniques in Practice","Institute of Technology, Tralee",Special Purpose,30,Part Time,2018-08-31,2018-09-07,2019-06-20,7,Yes,http://springboardcourses.ie/details/6217,0,0,1,0,1,0,0,0,0,0,1,0,0
Certificate in Building Information Modelling (BIM) with Revit,"Institute of Technology, Tralee",Special Purpose,10,Part Time,2018-08-31,2018-09-07,2018-12-21,6,Yes,http://springboardcourses.ie/details/6212,0,0,1,0,1,0,0,0,0,0,1,0,0
Higher Diploma in Science in Computing with Data Analytics/ Software/ IT Infrastructure [1 year Full-time] [September 2018],"Institute of Technology, Sligo",Higher Diploma,94,Full Time,2018-08-31,2018-09-10,2019-08-31,8,Yes,http://springboardcourses.ie/details/6197,0,1,0,0,0,0,0,0,1,0,0,1,0
Higher Diploma in Science in Computing [2 Years Part-time] [September 2018],"Institute of Technology, Sligo",Higher Diploma,90,Part Time,2018-08-31,2018-09-10,2020-08-31,8,Yes,http://springboardcourses.ie/details/6191,0,1,0,0,0,0,0,0,1,0,0,1,0
L8 Certificate in Software Development,"Institute of Technology, Sligo",Certificate,40,Part Time,2018-08-31,2018-09-10,2019-05-31,8,Yes,http://springboardcourses.ie/details/6182,0,1,0,0,0,0,0,0,1,0,0,1,0
L8 Certificate in Secure IT & Deep Machine Learning,"Institute of Technology, Sligo",Certificate,40,Part Time,2018-08-31,2018-09-10,2019-05-31,8,Yes,http://springboardcourses.ie/details/6181,0,1,0,0,0,0,0,0,1,0,0,1,0
L8 Certificate in Science in Medical Technologies Regulatory Affairs & Quality,"Institute of Technology, Sligo",Certificate,40,Part Time,2018-08-31,2018-09-10,2019-05-31,8,Yes,http://springboardcourses.ie/details/6180,0,0,0,0,0,1,1,1,0,0,0,0,1
L8 Certificate in Computer Networks & Cloud Infrastructure,"Institute of Technology, Sligo",Certificate,40,Part Time,2018-08-31,2018-09-10,2019-05-31,8,Yes,http://springboardcourses.ie/details/6179,0,1,0,0,0,0,0,0,1,0,0,1,0
L7 Certificate in Lean Sigma Quality (Six Sigma Green Belt),"Institute of Technology, Sligo",Certificate,25,Part Time,2018-08-31,2018-09-10,2019-05-31,7,Yes,http://springboardcourses.ie/details/6178,0,0,1,0,1,0,0,0,0,0,1,0,0
L7 Certificate in Bioprocess Engineering,"Institute of Technology, Sligo",Certificate,40,Part Time,2018-08-31,2018-09-10,2019-05-31,7,Yes,http://springboardcourses.ie/details/6177,0,0,0,0,0,1,1,1,0,0,0,0,1
L7 Certificate in Biopharmaceutical Processing,"Institute of Technology, Sligo",Certificate,40,Part Time,2018-08-31,2018-09-10,2019-05-31,7,Yes,http://springboardcourses.ie/details/6176,0,0,0,0,0,1,1,1,0,0,0,0,1
L6 Certificate in Validation Technologies,"Institute of Technology, Sligo",Certificate,40,Part Time,2018-08-31,2018-09-10,2019-05-31,6,Yes,http://springboardcourses.ie/details/6175,0,0,1,0,1,0,0,0,0,0,1,0,0
L6 Certificate in Quality Assurance,"Institute of Technology, Sligo",Certificate,40,Part Time,2018-08-31,2018-09-10,2019-05-31,6,Yes,http://springboardcourses.ie/details/6174,0,0,1,0,1,0,0,0,0,0,1,0,0
L6 Certificate in Mechanical Analysis & Automation,"Institute of Technology, Sligo",Certificate,35,Part Time,2018-08-31,2018-09-10,2019-05-31,6,Yes,http://springboardcourses.ie/details/6173,0,0,1,0,1,0,0,0,0,0,1,0,0
Certificate in Digital Enterprise,"Institute of Technology, Blanchardstown",Certificate in Digital Enterprise,80,Part Time,2018-09-01,2018-09-01,2019-06-01,6,Yes,http://springboardcourses.ie/details/6156,1,0,0,1,0,0,0,0,0,1,0,0,0
Level 7 BA in Pharmaceutical Business Operations [September 2018] [Cork],Innopharma College of Applied Sciences,Level 7 in Pharmaceutical Business Operations,60,Part Time,2018-08-03,2018-09-24,2019-05-17,7,Yes,http://springboardcourses.ie/details/6144,0,0,1,0,1,0,0,0,0,0,1,0,0
Level 7 BA in Pharmaceutical Business Operations [September 2018] [Dublin],Innopharma College of Applied Sciences,Level 7 in Pharmaceutical Business Operations,60,Part Time,2018-08-03,2018-09-24,2019-05-17,7,Yes,http://springboardcourses.ie/details/6143,0,0,1,0,1,0,0,0,0,0,1,0,0
Higher Diploma in Food Science and Technology [September 2018] [Dublin],Innopharma College of Applied Sciences,Level 8 Special Purpose Award HETAC,70,Part Time,2018-08-03,2018-09-10,2019-05-31,8,Yes,http://springboardcourses.ie/details/6141,0,0,1,0,1,0,0,0,0,0,1,0,0
Higher Diploma in Food Science and Technology [september 2018] [Cork],Innopharma College of Applied Sciences,Level 8 Higher Diploma QQI,70,Part Time,2018-08-03,2018-09-10,2019-05-31,8,Yes,http://springboardcourses.ie/details/6140,0,0,1,0,1,0,0,0,0,0,1,0,0
Diploma in Pharmaceutical and Medical Device Manufacturing [Sept 2018] [Dublin],Innopharma College of Applied Sciences,Level 8 Higher Diploma Award QQI,70,Part Time,2018-08-03,2018-09-21,2019-06-21,8,Yes,http://springboardcourses.ie/details/6136,0,0,1,0,1,0,0,0,0,0,1,0,0
Certificate in Pharmaceutical and Medical Device Operations - Distance/On Line [September 2018],Innopharma College of Applied Sciences,Level 6 Minor Award QQI,70,Part Time,2018-07-20,2018-09-10,2019-06-20,6,Yes,http://springboardcourses.ie/details/6132,0,0,1,0,1,0,0,0,0,0,1,0,0
Certificate in Food Science and Technology [Cork] [September 2018],Innopharma College of Applied Sciences,Level 6 Minor Award QQI,70,Part Time,2018-08-03,2018-09-10,2019-05-31,6,Yes,http://springboardcourses.ie/details/6130,0,0,1,0,1,0,0,0,0,0,1,0,0
Certificate in Food Science and Technology [Dublin] [September 2018],Innopharma College of Applied Sciences,Level 6 Minor Award QQI,70,Part Time,2018-08-03,2018-09-10,2019-05-31,6,Yes,http://springboardcourses.ie/details/6129,0,0,1,0,1,0,0,0,0,0,1,0,0
BSc in Process Technologies,Innopharma College of Applied Sciences,BSc in Process Technologies,70,Part Time,2018-08-03,2018-09-10,2019-05-31,7,Yes,http://springboardcourses.ie/details/6128,0,0,1,0,1,0,0,0,0,0,1,0,0
e-(Bio)PharmaChem [Intake 1],GetReSkilled,CPD Certificate (Awarding Body:  Dublin Institute of Technology),15,Part Time,2018-07-11,2018-07-23,2019-04-04,7,Yes,http://springboardcourses.ie/details/6119,0,0,1,0,1,0,0,0,0,0,1,0,0
Certificate in Software Systems and Entrepreneurship,Dublin City University,Certificate in Software Systems and Entrepreneurship,68,Part Time,2018-07-31,2018-09-17,2019-08-31,8,Yes,http://springboardcourses.ie/details/6072,0,1,0,0,0,0,0,0,1,0,0,1,0
Certificate in Information Technology,Dublin City University,Certificate in Information Technology,53,Part Time,2018-07-31,2018-09-17,2019-08-31,8,Yes,http://springboardcourses.ie/details/6071,0,1,0,0,0,0,0,0,1,0,0,1,0
Certificate in Computing & Communications Technology,Dublin City University,Certificate in Computing and Communications Technology,53,Part Time,2018-07-31,2018-09-17,2019-08-31,8,Yes,http://springboardcourses.ie/details/6070,0,1,0,0,0,0,0,0,1,0,0,1,0
Certificate in Validation Science,Cork Institute of Technology,Certificate in Validation Science ,10,Part Time,2018-08-29,2018-09-19,2019-08-31,7,Yes,http://springboardcourses.ie/details/6036,0,0,1,0,1,0,0,0,0,0,1,0,0
Certificate in Biopharmaceutical Supply Chain Management ,Cork Institute of Technology,Certificate in Biopharmaceutical Supply Chain Management ,20,Part Time,2018-08-01,2018-09-17,2019-08-31,8,Yes,http://springboardcourses.ie/details/6033,0,0,1,0,1,0,0,0,0,0,1,0,0
Higher Diploma in Science in Cloud Computing[2 Years Part-time],Cork Institute of Technology,Higher Diploma,60,Part Time,2018-08-01,2018-09-01,2020-06-01,8,Yes,http://springboardcourses.ie/details/6030,0,1,0,0,0,0,0,0,1,0,0,1,0
Special Purpose Award in Robotics and Automation,Athlone Institute of Technology,Certificate - Level 6,40,Part Time,2018-11-01,2019-01-01,2019-12-01,6,Yes,http://springboardcourses.ie/details/6016,0,0,1,0,1,0,0,0,0,0,1,0,0
SPA Construction Management,Athlone Institute of Technology,Certificate - Special Purpose Award,40,Part Time,2018-08-01,2018-09-01,2019-08-01,8,Yes,http://springboardcourses.ie/details/6015,0,0,1,0,1,0,0,0,0,0,1,0,0
